year,japanese,english,publisher,image
1995,MAGIUSスタートブック,Magius Start Book,Fujimi Shobo,magius_start.jpg
1995,だんぢょん大作戦,Danzyan Operation,Fujimi Shobo,danzyan_strategy.jpg
1995,五竜亭RPG―五竜亭の大騒動!,Go Ryutei RPG,Fujimi Shobo,goryutei_riot.jpg
1995,蓬莱学園RPG―蓬莱83分署,Horai School RPG: Horai 83 Branch Office,Fujimi Shobo,horai_gakuen.jpg
1995,モンスターメーカー学園RPG,Monster Maker Academy RPG,Fujimi Shobo,monster_maker.jpg
1995,騒動無用!,No Uproar!,Fujimi Shobo,no_uproar.jpg
1995,ロケットガールRPG,Rocket Girl RPG,Fujimi Shobo,rocket_girl.jpg
1995,セイバーマリオネットJ‐RPG - ぼくだけのアリシア,Saber Marionette RPG,Fujimi Shobo,saber_marionette.png
1995,サイレントメビウスRPG,Silent Möbius RPG,Fujimi Shobo,silent_mobius.jpg
1995,スレイヤーズRPG - ナーガ様といっしょ,Slayers RPG with Naga,Fujimi Shobo,slayers.jpg
1995,天地無用!RPG,Tenchi Muyo RPG,Fujimi Shobo,useless_rpg.jpg
1996,ゲットレディ、GO!―それゆけ!宇宙戦艦ヤマモト・ヨーコRPG,"Get Ready, Go!",Fujimi Shobo,get_ready_go.jpg
1996,入門!リナの魔法教室,Lina's Magic Classroom,Fujimi Shobo,linas_magic_classroom.jpg
1996,ナーガ様がいっぱい,Naga is Full,Fujimi Shobo,naga_full.jpg
1996,新世紀エヴァンゲリオンRPG,Neon Genesis Evangelion RPG,Fujimi Shobo,neon_genesis_evangelion.jpg
1996,天地無用!漂流記,Tenchi  Muyo Drifing,Fujimi Shobo,useless_drifting.jpg
1996,天地無用!in LOVE RPG,Tenchi Muyo in Love RPG,Fujimi Shobo,useless_in_love.jpg
1997,使徒、撃滅!,Apostle Destroyed!,Fujimi Shobo,apostle_destroyed.jpg
1997,魔法学園LUNAR! RPG,Magic Academy Lunar! RPG,Fujimi Shobo,magic_academy_lunar.jpg
1997,魔法少女プリティサミーRPG,Magical Girl Pretty Sammy RPG,Fujimi Shobo,magical_girl_pretty_sammy.jpg
1997,魔術士オーフェン 私闘編,Sorcerous Stabber Orphen: Private Fight,Fujimi Shobo,magician_orphan_private_fight.jpg
1997,MAZE☆爆熱時空RPG ,MAZE ☆ Explosive Space-Time RPG,Fujimi Shobo,maze_explosive_space_time.jpg
1997,町内防衛隊RPG - 空想科学MAGIUS,Neighborhood Defense Corps RPG,Fujimi Shobo,neighborhood_defense_corps.jpg
1997,新世紀エヴァンゲリオンRPG2,Neon Genesis Evangelion RPG II,Fujimi Shobo,neon_genesis_evangelion_2.jpg
1997,聖王都 あどべんちゃあ,Holy Imperial City Adventure,Fujimi Shobo,sailing_king_adventure.jpg
1997,お宝くえすと ,Treasure Quest,Fujimi Shobo,treasure_quest.jpg
1998,ロストユニバース 芸夢轟く,Lost Universe,Fujimi Shobo,lost_universe.jpg
1998,魔術士オーフェン 野望編,Sorcerous Stabber Orphen: Ambition,Fujimi Shobo,magician_orphan_ambition.jpg
1998,機動戦艦ナデシコ - ときめき『キッス』は誰のもの!?,Martian Successor Nadesico,Fujimi Shobo,martian_successor_nadesko.jpg
