year,japanese,english,publisher,image
1989,ロードス島戦記 コンパニオン,Record of Lodoss War Companion,Kadokawa Shoten,record_of_lodoss_war_companion_vol1.jpg
1991,ロードス島戦記 コンパニオン2,Record of Lodoss War Companion 2,Kadokawa Shoten,record_of_lodoss_war_companion_vol2.jpg
1994,ロードス島戦記 コンパニオン3,Record of Lodoss War Companion 3,Kadokawa Shoten,record_of_lodoss_war_companion_vol3.jpg
1995,ロードス島RPG ベーシックルール,Lodoss Island RPG Basic Rules,Kadokawa Shoten,lodoss_island_rpg_basic_rules.jpg
1996,ロードス島RPG エキスパートルール,Lodoss Island RPG Expert Rules,Kadokawa Shoten,lodoss_island_rpg_expert_rules.jpg
1998,ソード・ワールドRPG ロードス島ワールドガイド,Sword World RPG Lodoss Island World Guide,Fujimi Shobo,lodoss_island_world_guide.jpg
1992,ロードス島戦記ハンドブック1,Record of Lodoss War Handbook 1,BNN,record_of_lodoss_war_handbook_2.jpg
1992,ロードス島戦記ハンドブック2,Record of Lodoss War Handbook 2,BNN,record_of_lodoss_war_handbook_1.png
1995,ロードス島RPGシナリオ集出発の刻,Lodoss Island RPG Scenario Collection: Time of Departure,Kadokawa Shoten,lodoss_island_rpg_scenario_collection_time_of_departure.jpg
1989,RPGリプレイ ロードス島戦記〈1〉,RPG Replay Record of LodossWar 1,Kadokawa Shoten,lodoss_island_war_replay_1.jpg
1990,RPGリプレイ ロードス島戦記〈2〉,RPG Replay Record of LodossWar 2,Kadokawa Shoten,lodoss_island_war_replay_2.jpg
1991,RPGリプレイ ロードス島戦記〈3〉,RPG Replay Record of LodossWar 3,Kadokawa Shoten,lodoss_island_war_replay_3.jpg
,RPGリプレイ ロードス島戦記〈1〉,RPG Replay Record of LodossWar 1,Kadokawa Shoten,lodoss_island_war_replay_1_sneaker_g.jpg
,RPGリプレイ ロードス島戦記〈2〉,RPG Replay Record of LodossWar 2,Kadokawa Shoten,lodoss_island_war_replay_2_sneaker_g.jpg
,RPGリプレイ ロードス島戦記〈3〉,RPG Replay Record of LodossWar 3,Kadokawa Shoten,lodoss_island_war_replay_3_sneaker_g.jpg
1998,RPGリプレイ ロードス島戦記〈1〉,RPG Replay Record of LodossWar 1,Fujimi Shobo,lodoss_island_war_replay_1_fujimi.jpg
1998,RPGリプレイ ロードス島戦記〈2〉,RPG Replay Record of LodossWar 2,Fujimi Shobo,lodoss_island_war_replay_2_fujimi.jpg
1998,RPGリプレイ ロードス島戦記〈3〉,RPG Replay Record of LodossWar 3,Fujimi Shobo,lodoss_island_war_replay_3_fujimi.png
1994,ロードス島伝説―RPGリプレイ (1),Lodoss Island Legend RPG Replay 1,Kadokawa Shoten,lodoss_island_legend_replay_1_sneaker_g.jpg
1995,ロードス島伝説―RPGリプレイ (2),Lodoss Island Legend RPG Replay 2,Kadokawa Shoten,lodoss_island_legend_replay_2_sneaker_g.jpg
1996,ロードス島伝説―RPGリプレイ (3),Lodoss Island Legend RPG Replay 3,Kadokawa Shoten,lodoss_island_legend_replay_3_sneaker_g.jpg
