year,japanese,english,publisher,image
1988,ワースブレイド スタートセット,Wares Blade Start Set,Hobby Japan,wares_blade.jpg
,東面の魔術師,Solgna,Hobby Japan,wares_blade_scenario.jpg
,魔王の復活,Inferno in Gmoniedus,Hobby Japan,wares_blade_scenario2.jpg
,ワースブレイド ・スクリーン,Wares Blade Screen,Hobby Japan,screen.jpg
,エクスパンションセット1,Wares Blade Expansion Set,Hobby Japan,wares_blade_exp1.jpg
,エクスパンションセット2,Wares Blade Expansion Set Vol. 2,Hobby Japan,wares_blade_exp2.jpg
,エクスパンションセット3 術法エクスパンション,Wares Blade Expansion Set Vol. 3,Hobby Japan,wares_blade_exp3.jpg
,エクスパンションセット4 操兵エクスパンション,Wares Blade Expansion Set Vol. 4: Thored of Ryude,Hobby Japan,wares_blade_exp4.jpg
1993,聖者の仮面,The Saint's Mask,Hobby Japan,saint_mask.jpg
1994,遥かなるカイ・ダイン,Far Away Kai Dyne,Hobby Japan,far_away_kai_dyne.jpg
1990,操兵の書 西方,Maneuver of the West,Hobby Japan,maneuver_of_the_west.jpg
,東方エクスパンション1 梗醍果の王,Touhou Expansion Set 1: The King of Infarction,Hobby Japan,touhou_exp1.jpg
,東方エクスパンション2 吾伽式の練者,Touhou Expansion Set 2: Gogi-style Practioner,Hobby Japan,touhou_exp2.jpg
1994,ワースブレイド スターティングブック,Wares Blade Starting Book,Hobby Japan,the_renewal.jpg
1991,聖刻1092 ,Holy Mark 1092,Asahi Sonorama,holy_mark_1092.jpg
1996, 聖刻大全,Holy Encyclopedia,Asahi Sonorama,holy_encyclopedia.jpg
